IDVENTA;ID_USUARIO;FECHAVENTA;TIPOVENTA;IMPORTE;NUMVENTAS;IMPORTES;VP Informe;BONO;SUSCRIPCION;VP Listado
40069190,00;6869761,00;2/1/2018 0:00:00;VP Informe;35000;1;35000,00;1;;;
40071981,00;6869989,00;2/1/2018 0:00:00;VP Informe;15000;1;15000,00;1;;;
40078934,00;6869802,00;3/1/2018 0:00:00;VP Listado;1070503;1;1070503,00;;;;1
40090106,00;6872111,00;4/1/2018 0:00:00;VP Informe;25000;1;25000,00;1;;;
40111415,00;6873222,00;5/1/2018 0:00:00;VP Informe;15000;1;15000,00;1;;;
40114176,00;6874240,00;5/1/2018 0:00:00;VP Informe;25000;3;155000,00;1;;;
40115721,00;6874525,00;5/1/2018 0:00:00;VP Informe;25000;1;25000,00;1;;;
40119327,00;6874570,00;7/1/2018 0:00:00;VP Informe;65000;1;65000,00;1;;;
40122375,00;6875825,00;8/1/2018 0:00:00;VP Informe;15000;1;15000,00;1;;;
40135742,00;6876436,00;9/1/2018 0:00:00;VP Informe;15000;1;15000,00;1;;;
40147852,00;6873705,00;10/1/2018 0:00:00;Bono;1000000;5;1965000,00;1;1;;
40147864,00;6878776,00;10/1/2018 0:00:00;VP Informe;70000;1;70000,00;1;;;
40153323,00;6878735,00;10/1/2018 0:00:00;VP Informe;35000;2;75000,00;1;;;
40159006,00;6880156,00;11/1/2018 0:00:00;VP Informe;15000;1;15000,00;1;;;
40161632,00;6877226,00;11/1/2018 0:00:00;VP Listado;672165;2;2622165,00;;;;1
40162537,00;6880211,00;11/1/2018 0:00:00;Bono;150000;1;150000,00;;1;;
40181531,00;6882780,00;12/1/2018 0:00:00;VP Informe;70000;1;70000,00;1;;;
40189831,00;6885227,00;13/1/2018 0:00:00;VP Informe;65000;1;65000,00;1;;;
40192482,00;6885930,00;14/1/2018 0:00:00;VP Informe;70000;1;70000,00;1;;;
40211315,00;6876844,00;15/1/2018 0:00:00;VP Informe;25000;22;521500,00;1;;;
